Test,A_rows,A_cols,B_cols,CPUTimeMs,GPUKernelAvgMs,GPUKernelStdMs,Result
1,750,800,850,776.74220,16.54043,1.08833,PASSED
2,2000,1750,1900,10393.25050,183.01723,74.11533,PASSED
